   10    6   12    1   10     /KBe  06-19-1994
--------------------------------------------------------------------------------
  -8.25368  -8.25368  -8.25235  -8.25235  -8.25235  -8.26305
  -8.35625  -8.35625  -8.35625  -8.35625  -8.35625  -8.36472
  -8.46420  -8.46420  -8.46420  -8.46420  -8.46636  -8.47289
  -8.61421  -8.61421  -8.61421  -8.61421  -8.61421  -8.62033
  -8.72816  -8.72816  -8.72816  -8.72816  -8.72816  -8.73212
----------/Z1= 7   NeVII 46.522nm  5        2S1 2P1       (1)1(   1.0) 5.8E+09
 -12.61644 -12.57856 -12.49700 -12.46793 -12.46942 -12.51312
  -9.32862  -9.31178  -9.25657  -9.22797  -9.22373  -9.25115
  -8.30715  -8.29855  -8.26530  -8.24446  -8.24314  -8.26022
  -7.86182  -7.85636  -7.83690  -7.82327  -7.82160  -7.83345
  -7.66837  -7.66603  -7.65679  -7.64774  -7.64662  -7.65451
  -7.64662  -7.64551  -7.64108  -7.63451  -7.63343  -7.63997
  -7.67309  -7.67309  -7.67072  -7.66837  -7.66837  -7.67428
  -7.74661  -7.74661  -7.74661  -7.74661  -7.74661  -7.75227
  -7.81662  -7.81662  -7.81662  -7.81662  -7.81662  -7.82160
  -7.89415  -7.89415  -7.89415  -7.89415  -7.89415  -7.89812
  -8.00104  -8.00104  -8.00104  -8.00104  -8.00104  -8.00358
  -8.08428  -8.08428  -8.08428  -8.08428  -8.08428  -8.08735
----------/Z1= 8   NeVIII 77.396nm  3   1S2 2P(3/2)  (2)1( 1.5) 5.64E+08
 -10.73818 -10.73818 -10.73818 -10.74086 -10.76017 -10.91628
  -8.82221  -8.82221  -8.82221  -8.82384  -8.83710  -8.94769
  -8.26016  -8.26016  -8.26016  -8.26150  -8.27054  -8.35496
  -8.04732  -8.04732  -8.04732  -8.04732  -8.05282  -8.11839
  -8.00075  -8.00075  -8.00075  -8.00075  -8.00568  -8.05006
  -8.03388  -8.03388  -8.03653  -8.03653  -8.03921  -8.07553
  -8.09643  -8.09643  -8.09643  -8.09643  -8.09950  -8.13145
  -8.19950  -8.19950  -8.19950  -8.19950  -8.20340  -8.22753
  -8.29207  -8.29207  -8.29207  -8.29255  -8.29448  -8.31422
  -8.38243  -8.38243  -8.38243  -8.38243  -8.38421  -8.40115
  -8.50209  -8.50209  -8.50209  -8.50209  -8.50365  -8.51713
 -40.00000 -40.00000 -40.00000 -40.00000 -40.00000 -40.00000
----------/z1 =  9   E(eV) =  914 
 -34.00000 -34.00000 -34.00000 -34.00000 -34.00000 -34.00000
 -34.00000 -34.00000 -34.00000 -34.00000 -34.00000 -34.00000
 -34.00000 -34.00000 -34.00000 -34.00000 -34.00000 -34.00000
